               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079819,            0.027497,             0.05929,           0.0033358,             0.95859,            0.087502,            0.034422,            0.046239,            0.013579,            0.050729,            0.070303,           0.0032997,           0.0032997
                   1,            0.054271,            0.021797,            0.054261,             0.80754,            0.067463,             0.13005,            0.067756,            0.047383,           0.0064262,            0.050208,            0.040237,           0.0065673,           0.0065673
                   2,            0.049254,            0.016941,            0.052501,            0.078968,             0.38137,             0.16072,            0.074263,            0.035561,           0.0053238,            0.047159,            0.010106,            0.009769,            0.009769
                   3,            0.043933,            0.014112,            0.051534,            0.081411,              0.8059,             0.20336,             0.14001,            0.032069,           0.0042212,            0.047555,            0.009703,            0.009703,            0.009703
                   4,             0.04114,            0.012802,            0.051057,             0.22173,              0.7624,             0.25439,             0.14732,            0.030535,           0.0040613,            0.046124,            0.009703,            0.009703,            0.009703
                   5,            0.037816,            0.011555,             0.04929,             0.25251,             0.77374,             0.24577,             0.11639,            0.033983,           0.0040568,            0.044273,            0.009604,            0.009604,            0.009604
                   6,            0.034721,            0.010768,            0.045136,             0.31084,             0.68243,             0.35645,             0.25144,            0.027336,           0.0037163,            0.041793,            0.009505,            0.009505,            0.009505
                   7,            0.031231,            0.010434,            0.043986,             0.31756,             0.80011,             0.28865,             0.17899,            0.029959,           0.0039426,            0.042303,            0.009406,            0.009406,            0.009406
                   8,            0.032497,           0.0097145,            0.044722,             0.28691,             0.74534,              0.3571,             0.26532,            0.023157,           0.0037901,            0.039874,            0.009307,            0.009307,            0.009307
                   9,            0.031422,            0.010143,            0.044522,             0.29758,             0.80505,             0.33303,             0.25044,            0.020269,           0.0038365,            0.040392,            0.009208,            0.009208,            0.009208
                  10,            0.027793,           0.0096229,            0.042937,             0.28054,             0.83838,              0.3182,             0.23721,            0.023013,           0.0035458,            0.041723,            0.009109,            0.009109,            0.009109
                  11,            0.027378,           0.0097393,            0.043446,             0.31375,             0.84747,             0.32344,             0.24916,            0.024527,           0.0036432,             0.03955,             0.00901,             0.00901,             0.00901
                  12,            0.028627,            0.010205,            0.043994,             0.30474,             0.79881,             0.33148,             0.26204,            0.021601,           0.0039335,             0.04082,            0.008911,            0.008911,            0.008911
                  13,            0.025705,           0.0092962,            0.043695,             0.28243,             0.79394,              0.3102,             0.25767,            0.018528,           0.0038063,            0.039993,            0.008812,            0.008812,            0.008812
                  14,            0.026691,           0.0096003,            0.042724,             0.30111,              0.7404,             0.34182,             0.26332,            0.018863,           0.0037294,            0.040034,            0.008713,            0.008713,            0.008713
                  15,            0.027058,            0.009387,            0.042227,             0.30776,             0.82069,             0.37584,             0.25958,            0.023757,           0.0036365,            0.040467,            0.008614,            0.008614,            0.008614
                  16,            0.025872,           0.0096253,            0.042402,             0.32202,             0.74719,             0.36798,             0.30396,            0.017719,           0.0038065,            0.038182,            0.008515,            0.008515,            0.008515
                  17,            0.027551,            0.009559,             0.04167,             0.32309,             0.70836,             0.50149,             0.40758,            0.019042,            0.003746,             0.03708,            0.008416,            0.008416,            0.008416
                  18,            0.026559,           0.0093738,            0.040971,             0.33342,             0.76668,             0.51749,             0.42298,            0.018513,           0.0037033,            0.037489,            0.008317,            0.008317,            0.008317
                  19,            0.025637,           0.0091029,            0.040378,             0.31582,             0.54354,              0.4282,             0.33901,             0.01952,           0.0038668,            0.039732,            0.008218,            0.008218,            0.008218
                  20,            0.024729,           0.0091857,            0.039953,             0.37793,             0.80983,             0.53752,             0.40667,            0.021979,           0.0036441,            0.039301,            0.008119,            0.008119,            0.008119
                  21,            0.025296,           0.0087024,             0.03943,             0.37905,             0.76386,             0.49814,              0.4039,            0.018962,           0.0036513,              0.0378,             0.00802,             0.00802,             0.00802
                  22,            0.026099,           0.0089333,            0.038499,             0.46645,              0.6927,             0.55791,             0.45313,            0.018868,           0.0036025,             0.03896,            0.007921,            0.007921,            0.007921
